"Date","Quarterly average of official Bank Rate              [a] [b]             IUQABEDR"
"31 Mar 20","0.6117"
"31 Dec 19","0.75"
"30 Sep 19","0.75"
"30 Jun 19","0.75"
"31 Mar 19","0.75"
"31 Dec 18","0.75"
"30 Sep 18","0.6602"
"30 Jun 18","0.5"
"31 Mar 18","0.5"
"31 Dec 17","0.4087"
"30 Sep 17","0.25"
"30 Jun 17","0.25"
"31 Mar 17","0.25"
"31 Dec 16","0.25"
"30 Sep 16","0.3423"
"30 Jun 16","0.5"
"31 Mar 16","0.5"
"31 Dec 15","0.5"
"30 Sep 15","0.5"
"30 Jun 15","0.5"
"31 Mar 15","0.5"
"31 Dec 14","0.5"
"30 Sep 14","0.5"
"30 Jun 14","0.5"
"31 Mar 14","0.5"
"31 Dec 13","0.5"
"30 Sep 13","0.5"
"30 Jun 13","0.5"
"31 Mar 13","0.5"
"31 Dec 12","0.5"
"30 Sep 12","0.5"
"30 Jun 12","0.5"
"31 Mar 12","0.5"
"31 Dec 11","0.5"
"30 Sep 11","0.5"
"30 Jun 11","0.5"
"31 Mar 11","0.5"
"31 Dec 10","0.5"
"30 Sep 10","0.5"
"30 Jun 10","0.5"
"31 Mar 10","0.5"
"31 Dec 09","0.5"
"30 Sep 09","0.5"
"30 Jun 09","0.5"
"31 Mar 09","1.0714"
"31 Dec 08","3.3672"
"30 Sep 08","5"
"30 Jun 08","5.0278"
"31 Mar 08","5.3548"
"31 Dec 07","5.6875"
"30 Sep 07","5.7383"
"30 Jun 07","5.3975"
"31 Mar 07","5.2227"
"31 Dec 06","4.8889"
"30 Sep 06","4.6602"
"30 Jun 06","4.5"
"31 Mar 06","4.5"
"31 Dec 05","4.5"
"30 Sep 05","4.5923"
"30 Jun 05","4.75"
"31 Mar 05","4.75"
"31 Dec 04","4.75"
"30 Sep 04","4.6538"
"30 Jun 04","4.2213"
"31 Mar 04","3.9063"
"31 Dec 03","3.6484"
"30 Sep 03","3.5269"
"30 Jun 03","3.75"
"31 Mar 03","3.8492"
"31 Dec 02","4"
"30 Sep 02","4"
"30 Jun 02","4"
"31 Mar 02","4"
"31 Dec 01","4.2305"
"30 Sep 01","5.0547"
"30 Jun 01","5.3648"
"31 Mar 01","5.8555"
"31 Dec 00","6"
"30 Sep 00","6"
"30 Jun 00","6"
"31 Mar 00","5.8672"
"31 Dec 99","5.4048"
"30 Sep 99","5.0654"
"30 Jun 99","5.2008"
"31 Mar 99","5.6944"
"31 Dec 98","6.8555"
"30 Sep 98","7.5"
"30 Jun 98","7.3279"
"31 Mar 98","7.25"
"31 Dec 97","7.1484"
"30 Sep 97","6.8692"
"30 Jun 97","6.1984"
"31 Mar 97","5.9375"
"31 Dec 96","5.8555"
"30 Sep 96","5.6875"
"30 Jun 96","5.8678"
"31 Mar 96","6.125"
"31 Dec 95","6.5813"
"30 Sep 95","6.625"
"30 Jun 95","6.625"
"31 Mar 95","6.4531"
"31 Dec 94","5.752"
"30 Sep 94","5.2404"
"30 Jun 94","5.125"
"31 Mar 94","5.2242"
"31 Dec 93","5.6641"
"30 Sep 93","5.875"
"30 Jun 93","5.875"
"31 Mar 93","6.129"
"31 Dec 92","7.5313"
"30 Sep 92","9.7673"
"30 Jun 92","10.0471"
"31 Mar 92","10.375"
"31 Dec 91","10.375"
"30 Sep 91","10.7981"
"30 Jun 91","11.7379"
"31 Mar 91","13.3992"
"31 Dec 90","13.9531"
"30 Sep 90","14.875"
"30 Jun 90","14.875"
"31 Mar 90","14.875"
"31 Dec 89","14.8036"
"30 Sep 89","13.7607"
"30 Jun 89","13.2361"
"31 Mar 89","12.875"
"31 Dec 88","12.256"
"30 Sep 88","10.9058"
"30 Jun 88","7.9652"
"31 Mar 88","8.6328"
"31 Dec 87","9.0391"
"30 Sep 87","9.475"
"30 Jun 87","9.2111"
"31 Mar 87","10.6607"
"31 Dec 86","10.7188"
"30 Sep 86","9.875"
"30 Jun 86","10.3353"
"31 Mar 86","12.1127"
"31 Dec 85","11.375"
"30 Sep 85","11.5827"
"30 Jun 85","12.4734"
"31 Mar 85","12.9226"
"31 Dec 84","9.9844"
"30 Sep 84","10.9023"
"30 Jun 84","8.8545"
"31 Mar 84","8.9414"
"31 Dec 83","9.0625"
"30 Sep 83","9.5606"
"30 Jun 83","10.0051"
"31 Mar 83","10.8145"
"31 Dec 82","9.6758"
"30 Sep 82","11.3538"
"30 Jun 82","13.002"
"31 Mar 82","13.7758"
"31 Dec 81","14.6113"
"30 Sep 81","12.5254"
"30 Jun 81","12"
"31 Mar 81","13.5238"
"31 Dec 80","15.2188"
"30 Sep 80","16.0308"
"30 Jun 80","17"
"31 Mar 80","17"
"31 Dec 79","15.4531"
"30 Sep 79","14"
"30 Jun 79","12.4754"
"31 Mar 79","13.0234"
"31 Dec 78","11.3889"
"30 Sep 78","10"
"30 Jun 78","8.5675"
"31 Mar 78","6.5323"
"31 Dec 77","5.8492"
"30 Sep 77","7.2462"
"30 Jun 77","8.3893"
"31 Mar 77","12.2302"
"31 Dec 76","14.7227"
"30 Sep 76","11.8231"
"30 Jun 76","10.5726"
"31 Mar 76","9.8164"
"31 Dec 75","11.7383"
"30 Sep 75","10.7077"
"30 Jun 75","9.9609"
"31 Mar 75","10.2632"