"Title","Gross Domestic Product: chained volume measures: Seasonally adjusted £m"
"CDID","ABMI"
"PreUnit","£"
"Unit","m"
"Release date","13-05-2020"
"Next release","30 June 2020"
"1955 Q1","112194"
"1955 Q2","112267"
"1955 Q3","114538"
"1955 Q4","113938"
"1956 Q1","115274"
"1956 Q2","115024"
"1956 Q3","114890"
"1956 Q4","115429"
"1957 Q1","117738"
"1957 Q2","117750"
"1957 Q3","117027"
"1957 Q4","117259"
"1958 Q1","119840"
"1958 Q2","116992"
"1958 Q3","119595"
"1958 Q4","119718"
"1959 Q1","120416"
"1959 Q2","122381"
"1959 Q3","125013"
"1959 Q4","128181"
"1960 Q1","131400"
"1960 Q2","130435"
"1960 Q3","132409"
"1960 Q4","133240"
"1961 Q1","135394"
"1961 Q2","135986"
"1961 Q3","135294"
"1961 Q4","135059"
"1962 Q1","135647"
"1962 Q2","136963"
"1962 Q3","137781"
"1962 Q4","137294"
"1963 Q1","137923"
"1963 Q2","143904"
"1963 Q3","144585"
"1963 Q4","147888"
"1964 Q1","148759"
"1964 Q2","151393"
"1964 Q3","151995"
"1964 Q4","154284"
"1965 Q1","153863"
"1965 Q2","153987"
"1965 Q3","155273"
"1965 Q4","156227"
"1966 Q1","156492"
"1966 Q2","157416"
"1966 Q3","157905"
"1966 Q4","157245"
"1967 Q1","159377"
"1967 Q2","161621"
"1967 Q3","162361"
"1967 Q4","163160"
"1968 Q1","169136"
"1968 Q2","168472"
"1968 Q3","171819"
"1968 Q4","172474"
"1969 Q1","172081"
"1969 Q2","173422"
"1969 Q3","174387"
"1969 Q4","175234"
"1970 Q1","174113"
"1970 Q2","178241"
"1970 Q3","180018"
"1970 Q4","181580"
"1971 Q1","180543"
"1971 Q2","183754"
"1971 Q3","186988"
"1971 Q4","187689"
"1972 Q1","187959"
"1972 Q2","192942"
"1972 Q3","193487"
"1972 Q4","196522"
"1973 Q1","206302"
"1973 Q2","206567"
"1973 Q3","204608"
"1973 Q4","203726"
"1974 Q1","198147"
"1974 Q2","200999"
"1974 Q3","202289"
"1974 Q4","199366"
"1975 Q1","199482"
"1975 Q2","196206"
"1975 Q3","195535"
"1975 Q4","197777"
"1976 Q1","200907"
"1976 Q2","200575"
"1976 Q3","203086"
"1976 Q4","207394"
"1977 Q1","207453"
"1977 Q2","206012"
"1977 Q3","207447"
"1977 Q4","211006"
"1978 Q1","212888"
"1978 Q2","215368"
"1978 Q3","218329"
"1978 Q4","220309"
"1979 Q1","219527"
"1979 Q2","229224"
"1979 Q3","224136"
"1979 Q4","226507"
"1980 Q1","224357"
"1980 Q2","219869"
"1980 Q3","219652"
"1980 Q4","217246"
"1981 Q1","216973"
"1981 Q2","217417"
"1981 Q3","219759"
"1981 Q4","220034"
"1982 Q1","220462"
"1982 Q2","222812"
"1982 Q3","223389"
"1982 Q4","224959"
"1983 Q1","229078"
"1983 Q2","231037"
"1983 Q3","233566"
"1983 Q4","235584"
"1984 Q1","237215"
"1984 Q2","235138"
"1984 Q3","236659"
"1984 Q4","241339"
"1985 Q1","243318"
"1985 Q2","248471"
"1985 Q3","248688"
"1985 Q4","249289"
"1986 Q1","252116"
"1986 Q2","253987"
"1986 Q3","255143"
"1986 Q4","259701"
"1987 Q1","262115"
"1987 Q2","265960"
"1987 Q3","272422"
"1987 Q4","275507"
"1988 Q1","280417"
"1988 Q2","282070"
"1988 Q3","286366"
"1988 Q4","288832"
"1989 Q1","290105"
"1989 Q2","292015"
"1989 Q3","292306"
"1989 Q4","292584"
"1990 Q1","294556"
"1990 Q2","296069"
"1990 Q3","292978"
"1990 Q4","291970"
"1991 Q1","291118"
"1991 Q2","290751"
"1991 Q3","290116"
"1991 Q4","290620"
"1992 Q1","290641"
"1992 Q2","290298"
"1992 Q3","292147"
"1992 Q4","294182"
"1993 Q1","296310"
"1993 Q2","297779"
"1993 Q3","300125"
"1993 Q4","302117"
"1994 Q1","305669"
"1994 Q2","309236"
"1994 Q3","312770"
"1994 Q4","314667"
"1995 Q1","316003"
"1995 Q2","317171"
"1995 Q3","320102"
"1995 Q4","320514"
"1996 Q1","323457"
"1996 Q2","324609"
"1996 Q3","327469"
"1996 Q4","329992"
"1997 Q1","334548"
"1997 Q2","337436"
"1997 Q3","339916"
"1997 Q4","343953"
"1998 Q1","346938"
"1998 Q2","349999"
"1998 Q3","352389"
"1998 Q4","355946"
"1999 Q1","358191"
"1999 Q2","358930"
"1999 Q3","365530"
"1999 Q4","370797"
"2000 Q1","373622"
"2000 Q2","375713"
"2000 Q3","376740"
"2000 Q4","377333"
"2001 Q1","382731"
"2001 Q2","385933"
"2001 Q3","389008"
"2001 Q4","390452"
"2002 Q1","392181"
"2002 Q2","394167"
"2002 Q3","397175"
"2002 Q4","400587"
"2003 Q1","403246"
"2003 Q2","407021"
"2003 Q3","411215"
"2003 Q4","414687"
"2004 Q1","416942"
"2004 Q2","418434"
"2004 Q3","419128"
"2004 Q4","420507"
"2005 Q1","424041"
"2005 Q2","429313"
"2005 Q3","434203"
"2005 Q4","440716"
"2006 Q1","442476"
"2006 Q2","443589"
"2006 Q3","444045"
"2006 Q4","446352"
"2007 Q1","450518"
"2007 Q2","453311"
"2007 Q3","456830"
"2007 Q4","458982"
"2008 Q1","461472"
"2008 Q2","458912"
"2008 Q3","451736"
"2008 Q4","442406"
"2009 Q1","434676"
"2009 Q2","433618"
"2009 Q3","433926"
"2009 Q4","435228"
"2010 Q1","438001"
"2010 Q2","442390"
"2010 Q3","445324"
"2010 Q4","445606"
"2011 Q1","448411"
"2011 Q2","448857"
"2011 Q3","450249"
"2011 Q4","451086"
"2012 Q1","453989"
"2012 Q2","453631"
"2012 Q3","459145"
"2012 Q4","458439"
"2013 Q1","461394"
"2013 Q2","463867"
"2013 Q3","468254"
"2013 Q4","470740"
"2014 Q1","473842"
"2014 Q2","476949"
"2014 Q3","479696"
"2014 Q4","482379"
"2015 Q1","484920"
"2015 Q2","488378"
"2015 Q3","490478"
"2015 Q4","494144"
"2016 Q1","494966"
"2016 Q2","497593"
"2016 Q3","499836"
"2016 Q4","503083"
"2017 Q1","505983"
"2017 Q2","507255"
"2017 Q3","508982"
"2017 Q4","511014"
"2018 Q1","511318"
"2018 Q2","514011"
"2018 Q3","517029"
"2018 Q4","518136"
"2019 Q1","521610"
"2019 Q2","520779"
"2019 Q3","523513"
"2019 Q4","523617"
"2020 Q1","513273"
